latitude,longitude,time,GPI
33.5,39.5,13602255.0,0.0
33.5,40.5,13602255.0,0.0
33.5,41.5,13602255.0,0.0
33.5,42.5,13602255.0,0.0
33.5,43.5,13602255.0,0.0
33.5,44.5,13602255.0,0.0
33.5,45.5,13602255.0,0.0
33.5,46.5,13602255.0,0.0
33.5,47.5,13602255.0,0.0
33.5,48.5,13602255.0,0.0
33.5,49.5,13602255.0,0.0
33.5,50.5,13602255.0,0.0
33.5,51.5,13602255.0,0.0
33.5,52.5,13602255.0,0.0
33.5,53.5,13602255.0,0.0
33.5,54.5,13602255.0,0.0
33.5,55.5,13602255.0,0.0
33.5,56.5,13602255.0,0.0
33.5,57.5,13602255.0,0.0
33.5,58.5,13602255.0,0.0
33.5,59.5,13602255.0,0.0
33.5,60.5,13602255.0,0.0
33.5,61.5,13602255.0,0.0
33.5,62.5,13602255.0,0.0
33.5,63.5,13602255.0,0.0
33.5,64.5,13602255.0,0.0
33.5,65.5,13602255.0,0.0
33.5,66.5,13602255.0,0.0
33.5,67.5,13602255.0,0.0
33.5,68.5,13602255.0,0.0
33.5,69.5,13602255.0,0.0
33.5,70.5,13602255.0,0.0
33.5,71.5,13602255.0,0.0
33.5,72.5,13602255.0,0.0
33.5,73.5,13602255.0,0.0
33.5,74.5,13602255.0,0.0
33.5,75.5,13602255.0,0.0
33.5,76.5,13602255.0,0.0
33.5,77.5,13602255.0,0.0
33.5,78.5,13602255.0,0.0
33.5,79.5,13602255.0,0.0
33.5,80.5,13602255.0,0.0
33.5,81.5,13602255.0,0.0
33.5,82.5,13602255.0,0.0
33.5,83.5,13602255.0,0.0
33.5,84.5,13602255.0,0.0
33.5,85.5,13602255.0,0.0
33.5,86.5,13602255.0,0.0
33.5,87.5,13602255.0,0.0
33.5,88.5,13602255.0,0.0
33.5,89.5,13602255.0,0.0
33.5,90.5,13602255.0,0.0
33.5,91.5,13602255.0,0.0
33.5,92.5,13602255.0,0.0
33.5,93.5,13602255.0,0.0
33.5,94.5,13602255.0,0.0
33.5,95.5,13602255.0,0.0
33.5,96.5,13602255.0,0.018413698
33.5,97.5,13602255.0,0.056245506
33.5,98.5,13602255.0,0.020037908
33.5,99.5,13602255.0,0.001726531
33.5,100.5,13602255.0,0.0
33.5,101.5,13602255.0,0.0
33.5,102.5,13602255.0,0.0
33.5,103.5,13602255.0,0.0
33.5,104.5,13602255.0,0.0
33.5,105.5,13602255.0,0.0
33.5,106.5,13602255.0,0.0
33.5,107.5,13602255.0,0.0
33.5,108.5,13602255.0,0.0
33.5,109.5,13602255.0,0.0
33.5,110.5,13602255.0,0.0
33.5,111.5,13602255.0,0.0
33.5,112.5,13602255.0,0.0
33.5,113.5,13602255.0,0.0
33.5,114.5,13602255.0,0.0
33.5,115.5,13602255.0,0.0
33.5,116.5,13602255.0,0.0
33.5,117.5,13602255.0,0.0
33.5,118.5,13602255.0,0.0
33.5,119.5,13602255.0,0.0
33.5,120.5,13602255.0,0.0
32.5,30.5,13602255.0,0.0
32.5,31.5,13602255.0,0.0
32.5,32.5,13602255.0,0.0
32.5,33.5,13602255.0,0.0
32.5,34.5,13602255.0,0.0
32.5,35.5,13602255.0,0.0
32.5,36.5,13602255.0,0.0
32.5,37.5,13602255.0,0.0
